No.,NT,THT,THQCr,CT,QmT,TT,TCr,C,Si,Mn,P,S,Ni,Cr,Cu,Mo,Fatigue
425,930,30,0,930,60,200,0.5,0.19,0.21,0.77,0.017,0.011,0.12,1.02,0.16,0.05,4
410,930,30,0,930,140,160,0.5,0.18,0.26,0.76,0.009,0.014,0.56,0.62,0.12,0.17,4
81,825,825,24,30,30,550,24,0.55,0.23,0.76,0.018,0.012,0.01,0.09,0.01,0,3
292,900,845,8,30,30,600,24,0.32,0.3,0.49,0.008,0.006,2.66,0.82,0.09,0,3
27,865,865,24,30,30,600,24,0.36,0.26,0.7,0.009,0.023,0.08,0.12,0.09,0,1
94,825,825,24,30,30,600,24,0.52,0.29,0.83,0.016,0.025,0.04,0.04,0.02,0,2
307,900,845,8,30,30,650,24,0.33,0.3,0.49,0.009,0.006,2.66,0.82,0.06,0,2
59,845,845,24,30,30,600,24,0.45,0.25,0.79,0.018,0.016,0.02,0.13,0.02,0,2
305,900,845,8,30,30,650,24,0.35,0.26,0.54,0.019,0.003,2.78,0.89,0.05,0,3
187,870,855,8,30,30,550,24,0.37,0.24,0.69,0.018,0.016,0.02,1,0.02,0.19,4
5,885,30,0,30,30,30,0,0.22,0.19,0.42,0.026,0.022,0.01,0.02,0.02,0,1
325,870,845,8,30,30,580,24,0.43,0.26,0.68,0.012,0.018,1.62,0.68,0.09,0.17,3
213,870,855,8,30,30,650,24,0.4,0.26,0.77,0.018,0.005,0.05,0.98,0.13,0.17,2
120,870,855,8,30,30,550,24,0.42,0.26,0.78,0.01,0.004,0.04,0.94,0.05,0,3
215,870,855,8,30,30,650,24,0.41,0.25,0.74,0.013,0.019,0.05,0.99,0.08,0.16,2
132,870,855,8,30,30,650,24,0.4,0.31,0.78,0.012,0.01,0.07,1.1,0.13,0,2
49,845,845,24,30,30,550,24,0.45,0.26,0.76,0.027,0.019,0.01,0.11,0.02,0,2
330,870,845,8,30,30,630,24,0.38,0.26,0.71,0.016,0.017,1.8,0.75,0.04,0.23,3
20,865,865,24,30,30,550,24,0.37,0.27,0.78,0.016,0.02,0.01,0.11,0.02,0,2
38,865,865,24,30,30,650,24,0.34,0.26,0.74,0.012,0.015,0.01,0.02,0.01,0,1
267,870,845,8,30,30,600,24,0.46,0.3,1.49,0.014,0.008,0.1,0.26,0.1,0,3
285,900,845,8,30,30,550,24,0.35,0.26,0.54,0.019,0.003,2.78,0.89,0.05,0,3
13,865,865,24,30,30,550,24,0.35,0.3,0.74,0.017,0.024,0.01,0.1,0.01,0,2
202,870,855,8,30,30,600,24,0.37,0.24,0.69,0.018,0.016,0.02,1,0.02,0.19,3
198,870,855,8,30,30,600,24,0.4,0.26,0.77,0.018,0.005,0.05,0.98,0.13,0.17,3
428,930,30,0,930,60,160,0.5,0.18,0.25,0.79,0.016,0.015,0.07,1.08,0.08,0.15,4
244,870,845,8,30,30,650,24,0.38,0.21,1.59,0.017,0.015,0.03,0.2,0.05,0,1
88,825,825,24,30,30,550,24,0.57,0.3,0.82,0.024,0.022,0.02,0.1,0.01,0,3
209,870,855,8,30,30,600,24,0.44,0.26,0.75,0.017,0.012,0.02,1.05,0.02,0.21,3
269,870,845,8,30,30,600,24,0.41,0.22,1.58,0.014,0.018,0.04,0.13,0.05,0,2
154,870,855,8,30,30,600,24,0.36,0.27,0.79,0.012,0.007,0.03,1.03,0.04,0.17,3
347,870,845,8,30,30,680,24,0.38,0.26,0.71,0.016,0.008,1.66,0.72,0.12,0.16,2
248,870,845,8,30,30,550,24,0.42,0.21,1.6,0.014,0.015,0.03,0.12,0.07,0,2
174,870,855,8,30,30,650,24,0.35,0.25,0.71,0.02,0.013,0.02,1.06,0.02,0.17,2
210,870,855,8,30,30,650,24,0.41,0.24,0.77,0.014,0.015,0.04,1.06,0.05,0.2,2
185,870,855,8,30,30,550,24,0.41,0.25,0.74,0.013,0.019,0.05,0.99,0.08,0.16,3
309,900,845,8,30,30,650,24,0.34,0.26,0.65,0.01,0.009,2.63,0.84,0.05,0,2
418,930,30,0,930,60,160,0.5,0.23,0.2,0.8,0.013,0.018,0.04,1.14,0.07,0.02,4
122,870,855,8,30,30,600,24,0.43,0.24,0.74,0.022,0.013,0.03,1.12,0.02,0,3
400,930,30,0,930,60,200,0.5,0.23,0.35,0.51,0.008,0.012,1.69,0.55,0.11,0.18,4
238,870,845,8,30,30,600,24,0.4,0.25,1.38,0.017,0.012,0.02,0.03,0.02,0,2
283,900,845,8,30,30,550,24,0.32,0.24,0.58,0.009,0.01,2.65,0.71,0.06,0,3
326,870,845,8,30,30,630,24,0.39,0.19,0.77,0.01,0.012,1.67,0.72,0.07,0.18,3
297,900,845,8,30,30,600,24,0.33,0.3,0.49,0.009,0.006,2.66,0.82,0.06,0,3
184,870,855,8,30,30,550,24,0.41,0.24,0.8,0.015,0.024,0.03,1.02,0.1,0.18,4
24,865,865,24,30,30,600,24,0.35,0.21,0.77,0.021,0.022,0.01,0.01,0.02,0,1
352,870,845,8,30,30,680,24,0.37,0.29,0.76,0.017,0.01,1.88,0.9,0.03,0.24,2
234,870,845,8,30,30,600,24,0.4,0.25,1.34,0.017,0.015,0.02,0.13,0.02,0,2
436,930,30,0,930,60,200,0.5,0.21,0.26,0.65,0.015,0.024,0.02,0.91,0.01,0.15,4
41,865,865,24,30,30,650,24,0.38,0.29,0.7,0.01,0.03,0.06,0.09,0.11,0,1
293,900,845,8,30,30,600,24,0.32,0.24,0.58,0.009,0.01,2.65,0.71,0.06,0,3
57,845,845,24,30,30,550,24,0.45,0.25,0.79,0.011,0.025,0.12,0.04,0.15,0,2
144,870,855,8,30,30,550,24,0.37,0.23,0.82,0.012,0.017,0.04,1.09,0.05,0.16,3
312,870,845,8,30,30,580,24,0.39,0.19,0.77,0.01,0.012,1.67,0.72,0.07,0.18,3
256,870,845,8,30,30,550,24,0.43,0.26,1.46,0.012,0.017,0.02,0.19,0.02,0,3
239,870,845,8,30,30,650,24,0.39,0.22,1.57,0.017,0.018,0.05,0.13,0.06,0,1
9,885,30,0,30,30,30,0,0.27,0.23,0.37,0.008,0.03,0.06,0.1,0.09,0,1
338,870,845,8,30,30,630,24,0.37,0.29,0.76,0.017,0.01,1.88,0.9,0.03,0.24,3
340,870,845,8,30,30,680,24,0.39,0.19,0.77,0.01,0.012,1.67,0.72,0.07,0.18,2
424,930,30,0,930,60,200,0.5,0.23,0.2,0.8,0.013,0.018,0.04,1.14,0.07,0.02,4
121,870,855,8,30,30,550,24,0.4,0.32,0.79,0.013,0.011,0.05,1.09,0.04,0,3
346,870,845,8,30,30,680,24,0.42,0.25,0.73,0.012,0.021,1.69,0.73,0.09,0.22,2
399,930,30,0,930,60,200,0.5,0.21,0.29,0.62,0.015,0.016,1.62,0.59,0.07,0.21,4
58,845,845,24,30,30,550,24,0.42,0.26,0.7,0.024,0.01,0.01,0.1,0.01,0,2
319,870,845,8,30,30,580,24,0.38,0.26,0.71,0.016,0.008,1.66,0.72,0.12,0.16,3
44,865,865,24,30,30,650,24,0.37,0.27,0.78,0.016,0.02,0.01,0.11,0.02,0,1
206,870,855,8,30,30,600,24,0.4,0.25,0.87,0.011,0.015,0.07,1.06,0.11,0.18,3
359,870,845,8,30,30,580,24,0.49,0.29,0.69,0.014,0.011,1.8,0.77,0.07,0,3
155,870,855,8,30,30,600,24,0.36,0.23,0.81,0.014,0.022,0.05,0.99,0.08,0.16,3
67,845,845,24,30,30,600,24,0.49,0.26,0.8,0.027,0.023,0.02,0.09,0.01,0,2
291,900,845,8,30,30,550,24,0.32,0.3,0.52,0.013,0.009,2.67,0.77,0.06,0,3
262,870,845,8,30,30,600,24,0.42,0.21,1.51,0.026,0.019,0.02,0.12,0.01,0,2
217,870,855,8,30,30,650,24,0.37,0.24,0.69,0.018,0.016,0.02,1,0.02,0.19,3
61,845,845,24,30,30,600,24,0.45,0.24,0.71,0.01,0.009,0.12,0.06,0.13,0,2
355,870,845,8,30,30,580,24,0.47,0.19,0.76,0.013,0.013,1.67,0.71,0.06,0,4
349,870,845,8,30,30,680,24,0.39,0.25,0.71,0.015,0.013,1.76,0.82,0.09,0.23,2
232,870,845,8,30,30,600,24,0.39,0.22,1.57,0.017,0.018,0.05,0.13,0.06,0,2
374,845,845,8,30,30,430,24,0.61,2.05,0.86,0.019,0.014,0.16,0.16,0.12,0,4
140,870,855,8,30,30,550,24,0.36,0.27,0.79,0.012,0.007,0.03,1.03,0.04,0.17,3
240,870,845,8,30,30,650,24,0.38,0.27,1.52,0.012,0.007,0.03,0.13,0.07,0,1
369,870,845,8,30,30,680,24,0.45,0.16,0.79,0.009,0.016,1.65,0.73,0.05,0,2
420,930,30,0,930,140,160,0.5,0.21,0.3,0.76,0.021,0.006,0.08,1.09,0.14,0.03,4
252,870,845,8,30,30,550,24,0.41,0.34,1.36,0.02,0.015,0.07,0.27,0.1,0,3
393,930,30,0,930,60,160,0.5,0.21,0.29,0.62,0.015,0.016,1.62,0.59,0.07,0.21,4
181,870,855,8,30,30,550,24,0.39,0.27,0.86,0.019,0.008,0.1,0.96,0.12,0.17,3
336,870,845,8,30,30,630,24,0.38,0.29,0.7,0.012,0.008,1.75,0.74,0.07,0.19,3
127,870,855,8,30,30,600,24,0.42,0.32,0.81,0.014,0.007,0.03,1.09,0.04,0,3
228,870,845,8,30,30,550,24,0.4,0.22,1.56,0.011,0.019,0.06,0.09,0.05,0,2
413,930,30,0,930,60,200,0.5,0.18,0.26,0.76,0.009,0.014,0.56,0.62,0.12,0.17,4
376,845,845,8,30,30,500,24,0.59,1.99,0.92,0.027,0.01,0.01,0.15,0.01,0,4
110,825,825,24,30,30,650,24,0.57,0.3,0.82,0.024,0.022,0.02,0.1,0.01,0,2
316,870,845,8,30,30,580,24,0.38,0.26,0.71,0.016,0.017,1.8,0.75,0.04,0.23,4
71,845,845,24,30,30,650,24,0.45,0.26,0.76,0.027,0.019,0.01,0.11,0.02,0,1
103,825,825,24,30,30,650,24,0.55,0.23,0.76,0.018,0.012,0.01,0.09,0.01,0,2
290,900,845,8,30,30,550,24,0.3,0.27,0.53,0.018,0.008,2.7,0.81,0.07,0,3
231,870,845,8,30,30,550,24,0.4,0.25,1.38,0.017,0.012,0.02,0.03,0.02,0,2
321,870,845,8,30,30,580,24,0.39,0.25,0.71,0.015,0.013,1.76,0.82,0.09,0.23,4
205,870,855,8,30,30,600,24,0.4,0.26,0.74,0.024,0.017,0.13,1.01,0.15,0.17,3
237,870,845,8,30,30,600,24,0.38,0.21,1.59,0.017,0.015,0.03,0.2,0.05,0,2
344,870,845,8,30,30,680,24,0.38,0.26,0.71,0.016,0.017,1.8,0.75,0.04,0.23,2
253,870,845,8,30,30,550,24,0.4,0.25,1.47,0.027,0.016,0.02,0.04,0.01,0,3
37,865,865,24,30,30,650,24,0.35,0.3,0.74,0.017,0.024,0.01,0.1,0.01,0,1
327,870,845,8,30,30,630,24,0.4,0.23,0.7,0.011,0.01,1.82,0.78,0.09,0.18,3
345,870,845,8,30,30,680,24,0.4,0.33,0.73,0.011,0.012,1.71,0.74,0.08,0.2,2
415,930,30,0,930,60,160,0.5,0.23,0.2,0.8,0.013,0.018,0.04,1.14,0.07,0.02,4
247,870,845,8,30,30,550,24,0.43,0.34,1.38,0.017,0.01,0.08,0.26,0.1,0,3
419,930,30,0,930,60,160,0.5,0.19,0.21,0.77,0.017,0.011,0.12,1.02,0.16,0.05,4
167,870,855,8,30,30,650,24,0.35,0.3,0.7,0.019,0.012,0.02,1.03,0.01,0.15,2
29,865,865,24,30,30,600,24,0.38,0.29,0.7,0.01,0.03,0.06,0.09,0.11,0,1
276,870,845,8,30,30,650,24,0.41,0.34,1.36,0.02,0.015,0.07,0.27,0.1,0,2
50,845,845,24,30,30,550,24,0.45,0.24,0.71,0.01,0.009,0.12,0.06,0.13,0,2
255,870,845,8,30,30,550,24,0.46,0.3,1.49,0.014,0.008,0.1,0.26,0.1,0,3
51,845,845,24,30,30,550,24,0.44,0.24,0.82,0.021,0.021,0.03,0.02,0.02,0,2
254,870,845,8,30,30,550,24,0.41,0.22,1.48,0.01,0.007,0.03,0.08,0.06,0,2
266,870,845,8,30,30,600,24,0.41,0.22,1.48,0.01,0.007,0.03,0.08,0.06,0,1
98,825,825,24,30,30,600,24,0.53,0.3,0.83,0.019,0.026,0.02,0.12,0.01,0,2
21,865,865,24,30,30,550,24,0.35,0.25,0.82,0.016,0.023,0.03,0.01,0.01,0,1
105,825,825,24,30,30,650,24,0.52,0.29,0.83,0.016,0.025,0.04,0.04,0.02,0,2
412,930,30,0,930,60,200,0.5,0.23,0.29,0.85,0.011,0.011,0.44,0.6,0.07,0.16,4
115,870,855,8,30,30,550,24,0.42,0.27,0.71,0.01,0.008,0.02,0.96,0.04,0,3
195,870,855,8,30,30,600,24,0.41,0.24,0.77,0.014,0.015,0.04,1.06,0.05,0.2,3
125,870,855,8,30,30,600,24,0.42,0.22,0.72,0.016,0.014,0.03,1.06,0.01,0,3
434,930,30,0,930,140,160,0.5,0.18,0.25,0.79,0.016,0.015,0.07,1.08,0.08,0.15,4
356,870,845,8,30,30,580,24,0.44,0.25,0.74,0.01,0.009,1.74,0.79,0.09,0,4
335,870,845,8,30,30,630,24,0.39,0.25,0.71,0.015,0.013,1.76,0.82,0.09,0.23,3
364,870,845,8,30,30,630,24,0.48,0.2,0.7,0.01,0.016,1.66,0.73,0.11,0,3
15,865,865,24,30,30,550,24,0.36,0.26,0.7,0.009,0.023,0.08,0.12,0.09,0,1
97,825,825,24,30,30,600,24,0.57,0.23,0.74,0.018,0.017,0.01,0.12,0.02,0,2
79,845,845,24,30,30,650,24,0.45,0.25,0.79,0.011,0.025,0.12,0.04,0.15,0,1
26,865,865,24,30,30,600,24,0.34,0.26,0.74,0.012,0.015,0.01,0.02,0.01,0,1
82,825,825,24,30,30,550,24,0.54,0.26,0.76,0.022,0.021,0.02,0.12,0.01,0,3
407,930,30,0,930,60,160,0.5,0.18,0.26,0.76,0.009,0.014,0.56,0.62,0.12,0.17,4
368,870,845,8,30,30,680,24,0.44,0.25,0.74,0.01,0.009,1.74,0.79,0.09,0,2
417,930,30,0,930,60,160,0.5,0.21,0.3,0.76,0.021,0.006,0.08,1.09,0.14,0.03,4
318,870,845,8,30,30,580,24,0.42,0.25,0.73,0.012,0.021,1.69,0.73,0.09,0.22,3
135,870,855,8,30,30,650,24,0.42,0.32,0.81,0.014,0.007,0.03,1.09,0.04,0,2
203,870,855,8,30,30,600,24,0.42,0.29,0.77,0.015,0.017,0.12,1.1,0.09,0.15,3
208,870,855,8,30,30,600,24,0.4,0.25,0.74,0.014,0.028,0.24,0.96,0.1,0.18,3
370,870,845,8,30,30,680,24,0.48,0.2,0.7,0.01,0.016,1.66,0.73,0.11,0,2
304,900,845,8,30,30,650,24,0.32,0.29,0.54,0.018,0.004,2.64,0.75,0.05,0,2
250,870,845,8,30,30,550,24,0.42,0.21,1.51,0.026,0.019,0.02,0.12,0.01,0,3
36,865,865,24,30,30,650,24,0.35,0.21,0.77,0.021,0.022,0.01,0.01,0.02,0,1
92,825,825,24,30,30,600,24,0.55,0.23,0.76,0.018,0.012,0.01,0.09,0.01,0,2
403,930,30,0,930,60,160,0.5,0.23,0.29,0.85,0.011,0.011,0.44,0.6,0.07,0.16,4
52,845,845,24,30,30,550,24,0.42,0.22,0.78,0.022,0.02,0.01,0.02,0.03,0,2
60,845,845,24,30,30,600,24,0.45,0.26,0.76,0.027,0.019,0.01,0.11,0.02,0,2
95,825,825,24,30,30,600,24,0.56,0.26,0.37,0.019,0.026,0.04,0.13,0.11,0,2
301,900,845,8,30,30,600,24,0.32,0.3,0.52,0.013,0.009,2.67,0.77,0.06,0,3
68,845,845,24,30,30,600,24,0.45,0.25,0.79,0.011,0.025,0.12,0.04,0.15,0,2
260,870,845,8,30,30,600,24,0.42,0.21,1.6,0.014,0.015,0.03,0.12,0.07,0,2
329,870,845,8,30,30,630,24,0.4,0.25,0.7,0.021,0.02,1.63,0.71,0.08,0.17,3
211,870,855,8,30,30,650,24,0.39,0.27,0.86,0.019,0.008,0.1,0.96,0.12,0.17,2
259,870,845,8,30,30,600,24,0.43,0.34,1.38,0.017,0.01,0.08,0.26,0.1,0,3
117,870,855,8,30,30,550,24,0.42,0.22,0.72,0.016,0.014,0.03,1.06,0.01,0,3
166,870,855,8,30,30,650,24,0.36,0.3,0.73,0.017,0.016,0.05,1.01,0.19,0.16,2
275,870,845,8,30,30,650,24,0.45,0.33,1.58,0.008,0.007,0.06,0.1,0.08,0,2
223,870,855,8,30,30,650,24,0.4,0.25,0.74,0.014,0.028,0.24,0.96,0.1,0.18,3
404,930,30,0,930,60,160,0.5,0.18,0.26,0.76,0.009,0.014,0.56,0.62,0.12,0.17,4
378,845,845,8,30,30,420,24,0.61,0.28,0.87,0.019,0.02,0.08,0.87,0.2,0.05,4
337,870,845,8,30,30,630,24,0.42,0.3,0.78,0.016,0.004,1.9,0.86,0.04,0.24,3
173,870,855,8,30,30,650,24,0.35,0.25,0.8,0.02,0.017,0.08,0.99,0.18,0.19,2
406,930,30,0,930,60,160,0.5,0.23,0.29,0.85,0.011,0.011,0.44,0.6,0.07,0.16,4
150,870,855,8,30,30,550,24,0.38,0.27,0.8,0.015,0.012,0.07,1.07,0.12,0.16,3
99,825,825,24,30,30,600,24,0.57,0.3,0.82,0.024,0.022,0.02,0.1,0.01,0,2
108,825,825,24,30,30,650,24,0.57,0.23,0.74,0.018,0.017,0.01,0.12,0.02,0,2
245,870,845,8,30,30,650,24,0.4,0.25,1.38,0.017,0.012,0.02,0.03,0.02,0,1
69,845,845,24,30,30,600,24,0.42,0.26,0.7,0.024,0.01,0.01,0.1,0.01,0,2
39,865,865,24,30,30,650,24,0.36,0.26,0.7,0.009,0.023,0.08,0.12,0.09,0,1
421,930,30,0,930,140,160,0.5,0.23,0.2,0.8,0.013,0.018,0.04,1.14,0.07,0.02,4
243,870,845,8,30,30,650,24,0.41,0.24,1.51,0.02,0.008,0.04,0.22,0.08,0,1
190,870,855,8,30,30,550,24,0.4,0.26,0.74,0.024,0.017,0.13,1.01,0.15,0.17,3
302,900,845,8,30,30,650,24,0.32,0.3,0.49,0.008,0.006,2.66,0.82,0.09,0,2
308,900,845,8,30,30,650,24,0.28,0.27,0.53,0.019,0.009,2.67,0.87,0.05,0,3
151,870,855,8,30,30,550,24,0.34,0.29,0.71,0.019,0.013,0.11,1.05,0.12,0.16,3
279,870,845,8,30,30,650,24,0.46,0.3,1.49,0.014,0.008,0.1,0.26,0.1,0,2
170,870,855,8,30,30,650,24,0.34,0.25,0.72,0.019,0.011,0.12,1.01,0.1,0.17,2
289,900,845,8,30,30,550,24,0.34,0.26,0.65,0.01,0.009,2.63,0.84,0.05,0,3
54,845,845,24,30,30,550,24,0.47,0.25,0.72,0.015,0.01,0.13,0.04,0.04,0,2
430,930,30,0,930,60,160,0.5,0.21,0.26,0.65,0.015,0.024,0.02,0.91,0.01,0.15,4
3,885,30,0,30,30,30,0,0.26,0.27,0.43,0.008,0.015,0.02,0.03,0.01,0,1
314,870,845,8,30,30,580,24,0.4,0.29,0.79,0.022,0.009,1.92,0.96,0.05,0.24,4
379,845,845,8,30,30,420,24,0.63,0.17,0.77,0.026,0.014,0.03,0.81,0.02,0.01,4
48,845,845,24,30,30,550,24,0.45,0.25,0.79,0.018,0.016,0.02,0.13,0.02,0,3
139,870,855,8,30,30,550,24,0.35,0.3,0.7,0.019,0.012,0.02,1.03,0.01,0.15,3
149,870,855,8,30,30,550,24,0.37,0.29,0.76,0.017,0.009,0.12,1.01,0.12,0.16,3
383,845,845,8,30,30,490,24,0.62,0.29,0.88,0.026,0.007,0.05,0.75,0.12,0.03,4
91,825,825,24,30,30,550,24,0.54,0.27,0.7,0.017,0.02,0.06,0.1,0.22,0,3
133,870,855,8,30,30,650,24,0.42,0.22,0.72,0.016,0.014,0.03,1.06,0.01,0,2
343,870,845,8,30,30,680,24,0.4,0.25,0.7,0.021,0.02,1.63,0.71,0.08,0.17,2
138,870,855,8,30,30,550,24,0.36,0.3,0.73,0.017,0.016,0.05,1.01,0.19,0.16,3
65,845,845,24,30,30,600,24,0.47,0.25,0.72,0.015,0.01,0.13,0.04,0.04,0,2
416,930,30,0,930,60,160,0.5,0.19,0.21,0.77,0.017,0.011,0.12,1.02,0.16,0.05,4
43,865,865,24,30,30,650,24,0.32,0.26,0.73,0.015,0.019,0.02,0.02,0.03,0,1
191,870,855,8,30,30,550,24,0.4,0.25,0.87,0.011,0.015,0.07,1.06,0.11,0.18,4
179,870,855,8,30,30,650,24,0.34,0.29,0.71,0.019,0.013,0.11,1.05,0.12,0.16,2
271,870,845,8,30,30,650,24,0.43,0.34,1.38,0.017,0.01,0.08,0.26,0.1,0,2
142,870,855,8,30,30,550,24,0.34,0.25,0.72,0.019,0.011,0.12,1.01,0.1,0.17,3
35,865,865,24,30,30,600,24,0.32,0.21,0.63,0.007,0.017,0.06,0.1,0.08,0,1
361,870,845,8,30,30,630,24,0.47,0.19,0.76,0.013,0.013,1.67,0.71,0.06,0,3
158,870,855,8,30,30,600,24,0.37,0.23,0.82,0.012,0.017,0.04,1.09,0.05,0.16,3
392,930,30,0,930,60,160,0.5,0.17,0.28,0.55,0.002,0.016,1.64,0.45,0.05,0.16,4
322,870,845,8,30,30,580,24,0.38,0.29,0.7,0.012,0.008,1.75,0.74,0.07,0.19,4
33,865,865,24,30,30,600,24,0.35,0.25,0.82,0.016,0.023,0.03,0.01,0.01,0,1
294,900,845,8,30,30,600,24,0.32,0.29,0.54,0.018,0.004,2.64,0.75,0.05,0,3
411,930,30,0,930,60,200,0.5,0.2,0.32,0.77,0.024,0.028,0.46,0.47,0.2,0.19,4
6,885,30,0,30,30,30,0,0.26,0.22,0.45,0.026,0.026,0.02,0.05,0.03,0,1
157,870,855,8,30,30,600,24,0.36,0.35,0.74,0.016,0.02,0.05,0.97,0.12,0.15,3
332,870,845,8,30,30,630,24,0.42,0.25,0.73,0.012,0.021,1.69,0.73,0.09,0.22,3
100,825,825,24,30,30,600,24,0.56,0.25,0.68,0.009,0.023,0.03,0.1,0.03,0,2
145,870,855,8,30,30,550,24,0.35,0.25,0.8,0.02,0.017,0.08,0.99,0.18,0.19,3
331,870,845,8,30,30,630,24,0.4,0.33,0.73,0.011,0.012,1.71,0.74,0.08,0.2,3
230,870,845,8,30,30,550,24,0.38,0.21,1.59,0.017,0.015,0.03,0.2,0.05,0,2
102,825,825,24,30,30,600,24,0.54,0.27,0.7,0.017,0.02,0.06,0.1,0.22,0,2
216,870,855,8,30,30,650,24,0.39,0.28,0.77,0.021,0.018,0.09,1.08,0.15,0.19,3
196,870,855,8,30,30,600,24,0.39,0.27,0.86,0.019,0.008,0.1,0.96,0.12,0.17,3
295,900,845,8,30,30,600,24,0.35,0.26,0.54,0.019,0.003,2.78,0.89,0.05,0,3
204,870,855,8,30,30,600,24,0.42,0.28,0.75,0.015,0.008,0.07,1.04,0.12,0.17,3
386,845,845,8,30,30,430,24,0.53,1.51,0.68,0.013,0.011,0.13,0.68,0.26,0.05,4
366,870,845,8,30,30,680,24,0.47,0.28,0.72,0.011,0.007,1.76,0.79,0.06,0,2
